지역,배수로-흙수로 [m],배수로-구조물 [m],용수로-흙수로 [m],용수로-구조물 [m],총저수량 (천㎥),총 저수량 규모별 (개)
부산광역시,87137,96379,52784,38174,,
대구광역시,434590,582245,115751,163845,,
인천광역시,233085,190267,388380,138510,,
광주광역시,311100,55652,279734,99914,,
대전광역시,85493,35015,33218,20054,,
울산광역시,13640,221763,2680,13319,,
세종시,479328,35081,630565,22085,,
전북 전주시,26277,13023,-,-,5059.0,49.0
전북 군산시,12206,23837,3573,25466,26107.0,97.0
전북 익산시,72482,83512,6900,42667,9364.0,134.0
전북 정읍시,176070,150254,48545,189976,34228.0,223.0
전북 남원시,42000,411000,66000,812000,21520.0,278.0
전북 김제시,60292,16855,39418,32332,24958.0,123.0
전북 완주군,249257,43373,274,15447,118933.0,173.0
전북 진안군,95771,117529,44785,99115,17783.0,140.0
전북 무주군,8532,54265,7509,38023,11230.0,75.0
전북 장수군,19449,31749,319,26231,69705.0,79.0
전북 임실군,62888,63454,55690,45375,276049.0,193.0
전북 순창군,443361,154254,416525,177573,21342.0,171.0
전북 고창군,281645,416729,797930,305127,49478.0,345.0
전북 부안군,61624,38693,40726,94771,34570.0,95.0
강원 춘천시,379415,620472,128515,330266,9662.0,24.0
강원 원주시,109319,100064,126576,99610,11623.0,84.0
강원 강릉시,318980,96685,71326,34821,30149.0,14.0
강원 동해시,25414,14852,778,7581,21.0,1.0
강원 속초시,45347,57222,27506,21716,1364.0,6.0
강원 삼척시,108861,105456,38239,70756,1630.0,5.0
강원 홍천군,40508,347339,84898,38952,11917.0,39.0
강원 횡성군,32325,236874,10543,159427,6230.0,52.0
강원 영월군,38523,41993,34939,26015,62.0,5.0
강원 평창군,62773,49542,34078,69309,1204.0,5.0
강원 정선군,3841,105151,3469,54315,,
강원 철원군,187766,202981,95684,195084,44735.0,18.0
강원 화천군,92688,65452,36135,2883,26.0,4.0
강원 양구군,92725,139408,81056,45464,2851.0,13.0
강원 인제군,259193,223807,71422,52750,123.0,2.0
강원 고성군,152290,118549,138136,166608,12503.0,16.0
강원 양양군,56613,199401,289,31049,3688.0,10.0
경기 수원시,11030,8350,10645,5350,390.0,2.0
경기 성남시,800,-,480,-,970.0,2.0
경기 부천시,2350,12008,1070,-,,
경기 평택시,-,77125,-,46193,606.0,15.0
경기 동두천시,-,2326,-,-,,
경기 안산시,2600,700,2600,-,320.0,2.0
경기 고양시,270,834,-,-,,
경기 과천시,-,80,-,150,1102.0,2.0
경기 남양주시,9491,-,3555,-,2980.0,7.0
경기 오산시,17775,1355,3935,300,597.0,6.0
경기 시흥시,10978,6869,3522,3939,3460.0,7.0
경기 군포시,521,3849,-,-,1477.0,2.0
경기 용인시,147172,210101,13735,55805,38197.0,53.0
경기 파주시,4922,7820,2051,21804,8744.0,7.0
경기 이천시,426062,400647,348839,684315,2852.0,17.0
경기 안성시,76344,80995,35321,130448,48802.0,62.0
경기 김포시,18806,22406,16960,31643,305.0,7.0
경기 화성시,279534,354940,93845,441959,10422.0,40.0
경기 광주시,64841,26549,36955,8508,1274.0,9.0
경기 양주시,30902,16444,3524,24904,6381.0,12.0
경기 포천시,32693,64713,26030,24857,8778.0,29.0
경기 여주시,142629,204303,1119,142192,4830.0,12.0
경기 연천군,9717,47120,12077,57224,1757.0,3.0
경기 가평군,8837,87193,7666,19406,185.0,2.0
경기 양평군,65756,68430,54174,39155,2986.0,25.0
부산광역시 소계,,,,,1826.0,95.0
부산광역시 금정구,,,,,53.0,12.0
부산광역시 강서구,,,,,229.0,12.0
부산광역시 기장군,,,,,1544.0,71.0
대구광역시 소계,,,,,35962.0,570.0
대구광역시 동구,,,,,3460.0,49.0
대구광역시 북구,,,,,1502.0,23.0
대구광역시 수성구,,,,,1827.0,24.0
대구광역시 달서구,,,,,1445.0,5.0
대구광역시 달성군,,,,,19103.0,98.0
대구광역시 군위군,,,,,8625.0,371.0
인천광역시 소계,,,,,33385.0,54.0
인천광역시 중구,,,,,30.0,1.0
인천광역시 서구,,,,,64.0,1.0
인천광역시 강화군,,,,,32817.0,31.0
인천광역시 옹진군,,,,,474.0,21.0
광주광역시 소계,,,,,9110.0,129.0
광주광역시 동구,,,,,153.0,5.0
광주광역시 서구,,,,,720.0,10.0
광주광역시 남구,,,,,1150.0,23.0
광주광역시 북구,,,,,1007.0,20.0
광주광역시 광산구,,,,,6080.0,71.0
대전광역시 소계,,,,,5308.0,15.0
대전광역시 동구,,,,,46.0,3.0
대전광역시 중구,,,,,232.0,1.0
대전광역시 서구,,,,,4900.0,4.0
대전광역시 유성구,,,,,114.0,5.0
대전광역시 대덕구,,,,,16.0,2.0
울산광역시 소계,,,,,18704.0,326.0
울산광역시 중구,,,,,110.0,5.0
울산광역시 남구,,,,,86.0,5.0
울산광역시 동구,,,,,21.0,2.0
울산광역시 북구,,,,,2398.0,30.0
울산광역시 울주군,,,,,16089.0,284.0
세종특별자치시 소계,,,,,5632.0,36.0
경기 소계,,,,,150993.0,328.0
경기 광명시,,,,,28.0,1.0
경기 의왕시,,,,,3516.0,3.0
경기 하남시,,,,,34.0,1.0
충북 소계,,,,,213906.0,747.0
충북 청주시,,,,,17841.0,174.0
충북 충주시,,,,,23732.0,71.0
충북 제천시,,,,,5953.0,52.0
충북 보은군,,,,,29502.0,61.0
충북 옥천군,,,,,16364.0,88.0
충북 영동군,,,,,10195.0,75.0
충북 증평군,,,,,3190.0,14.0
충북 진천군,,,,,54871.0,50.0
충북 괴산군,,,,,17073.0,73.0
충북 음성군,,,,,34666.0,73.0
충북 단양군,,,,,519.0,16.0
충남 소계,,,,,343662.0,898.0
충남 천안시,,,,,13195.0,71.0
충남 공주시,,,,,20933.0,80.0
충남 보령시,,,,,31354.0,98.0
충남 아산시,,,,,26974.0,44.0
충남 서산시,,,,,30737.0,50.0
충남 논산시,,,,,41076.0,75.0
충남 계룡시,,,,,118.0,7.0
충남 당진시,,,,,7003.0,41.0
충남 금산군,,,,,7256.0,91.0
충남 부여군,,,,,23279.0,107.0
충남 서천군,,,,,27486.0,19.0
충남 청양군,,,,,26999.0,90.0
충남 홍성군,,,,,11658.0,44.0
충남 예산군,,,,,62491.0,32.0
충남 태안군,,,,,13103.0,49.0
전북 소계,,,,,720326.0,2175.0
전남 소계,,,,,774683.0,3207.0
전남 목포시,,,,,282.0,14.0
전남 여수시,,,,,7766.0,66.0
전남 순천시,,,,,9340.0,68.0
전남 나주시,,,,,127945.0,220.0
전남 광양시,,,,,7024.0,36.0
전남 담양군,,,,,104359.0,117.0
전남 곡성군,,,,,25496.0,132.0
전남 구례군,,,,,16140.0,56.0
전남 고흥군,,,,,40908.0,277.0
전남 보성군,,,,,26431.0,129.0
전남 화순군,,,,,37559.0,160.0
전남 장흥군,,,,,27096.0,115.0
전남 강진군,,,,,39643.0,134.0
전남 해남군,,,,,44179.0,374.0
전남 영암군,,,,,23506.0,224.0
전남 무안군,,,,,11811.0,179.0
전남 함평군,,,,,20794.0,159.0
전남 영광군,,,,,34338.0,196.0
전남 장성군,,,,,131145.0,122.0
전남 완도군,,,,,5114.0,49.0
전남 진도군,,,,,19725.0,134.0
전남 신안군,,,,,14082.0,246.0
경북 소계,,,,,549405.0,5000.0
경북 포항시,,,,,46624.0,275.0
경북 경주시,,,,,86871.0,391.0
경북 김천시,,,,,9911.0,252.0
경북 안동시,,,,,13783.0,180.0
경북 구미시,,,,,20861.0,200.0
경북 영주시,,,,,16013.0,63.0
경북 영천시,,,,,37399.0,980.0
경북 상주시,,,,,35075.0,216.0
경북 문경시,,,,,36927.0,47.0
경북 경산시,,,,,27406.0,295.0
경북 의성군,,,,,39544.0,696.0
경북 청송군,,,,,16422.0,188.0
경북 영양군,,,,,11326.0,104.0
경북 영덕군,,,,,22445.0,118.0
경북 청도군,,,,,24505.0,287.0
경북 고령군,,,,,10297.0,167.0
경북 성주군,,,,,50042.0,176.0
경북 칠곡군,,,,,11164.0,183.0
경북 예천군,,,,,11905.0,117.0
경북 봉화군,,,,,13725.0,44.0
경북 울진군,,,,,7160.0,21.0
경남 소계,,,,,313208.0,3158.0
경남 창원시,,,,,24949.0,170.0
경남 진주시,,,,,22766.0,270.0
경남 통영시,,,,,1543.0,48.0
경남 사천시,,,,,23003.0,154.0
경남 김해시,,,,,5025.0,129.0
경남 밀양시,,,,,20642.0,205.0
경남 거제시,,,,,3497.0,100.0
경남 양산시,,,,,1890.0,50.0
경남 의령군,,,,,19333.0,163.0
경남 함안군,,,,,8409.0,191.0
경남 창녕군,,,,,16770.0,224.0
경남 고성군,,,,,23620.0,218.0
경남 남해군,,,,,12468.0,167.0
경남 하동군,,,,,44530.0,153.0
경남 산청군,,,,,22401.0,222.0
경남 함양군,,,,,15385.0,179.0
경남 거창군,,,,,24098.0,178.0
경남 합천군,,,,,22879.0,337.0
제주 소계,,,,,4301.0,11.0
제주 제주시,,,,,2749.0,9.0
제주 서귀포시,,,,,1552.0,2.0
강원 소계,,,,,137788.0,298.0
