소재지도로명주소,소재지지번주소,트랙터및작업기보유대수,경운기및작업기보유대수,관리기및작업기보유대수,땅속작물수확기보유대수,탈곡기및정선작업기보유대수,자주형파종기보유대수,이앙작업기보유대수,벼수확및운반작업기보유대수,총 임대 농기계,,,
전라남도 장성군 북이면 방장로 950-10,전라남도 장성군 북이면 사거리 787-32,27,8,33,11,14,2,0,0,95,,,
전북특별자치도 완주군 고산면 고산천로 720-45,전북특별자치도 완주군 고산면 삼기리 945-70,75,13,78,35,52,7,16,0,276,,,
전라남도 영광군 군남면 천년로 626-3,전라남도 영광군 군남면 설매리 1434-1,103,20,44,16,25,0,2,4,214,,,
제주특별자치도 제주시 애월읍 상귀길 173,,75,0,3,1,6,0,0,0,85,,,
제주특별자치도 서귀포시 남원읍 중산간동로 7413,,11,0,10,0,0,0,0,0,21,,,
제주특별자치도 제주시 구좌읍 충렬로 166,,89,0,16,6,0,22,0,0,133,,,
제주특별자치도 서귀포시 표선면 서성일로 138,,47,0,5,6,0,5,0,0,63,,,
제주특별자치도 제주시 한림읍 월림7길 90,,52,0,7,8,4,4,0,0,75,,,
충청남도 청양군 청양읍 구봉로 1026-84,충청남도 청양군 청양읍 정좌리 455,104,39,41,28,49,4,3,11,279,,,
충청남도 청양군 정산면 효자길 62,충청남도 청양군 정산면 서정리 221,128,22,37,30,45,4,3,9,278,,,
전라남도 강진군 군동면 진흥로 85,전라남도 강진군 군동면 호계리 420,84,5,20,14,13,6,3,0,145,,,
전라남도 강진군 칠량면 장포길 6,전라남도 강진군 칠량면 장계리 463-2,39,5,14,9,9,2,0,0,78,,,
전라남도 강진군 도암면 학장로 8,전라남도 강진군 도암면 항촌리 431-1,49,5,14,11,11,2,0,0,92,,,
전라남도 강진군 작천면 까치내로 919,전라남도 강진군 작천면 군자리 197-5,50,6,17,12,10,3,0,0,98,,,
강원특별자치도 춘천시 남산면 한치로 73,강원특별자치도 춘천시 남산면 창촌리 67-3,14,2,4,0,0,0,2,2,24,,,
경기도 연천군 연천읍 연천로42번길 42,경기도 연천군 연천읍 동막리 598-2,77,6,32,8,36,1,0,0,160,,,
경기도 연천군 미산면 청정로 800,경기도 연천군 미산면 아미리 763-8,67,6,24,10,34,0,0,1,142,,,
전라남도 영암군 덕진면 금호길 11,전라남도 영암군 덕진면 장선리 676-6,121,0,28,11,47,0,0,0,207,,,
전라남도 영암군 삼호읍 오복길 298-28,전라남도 영암군 삼호읍 망산리 878,73,0,18,11,27,0,0,0,129,,,
전라남도 영암군 시종면 달보는길 19,전라남도 영암군 시종면 만수리 750-1,60,0,14,7,18,0,0,0,99,,,
강원특별자치도 춘천시 서면 금산길 31,강원특별자치도 춘천시 서면 금산리 925-2,19,0,17,4,0,0,1,0,41,,,
강원특별자치도 춘천시 사북면 영서로 4721,강원특별자치도 춘천시 사북면 신포리 413-3,18,2,6,3,3,0,5,2,39,,,
강원특별자치도 춘천시 북산면 북산로 493,강원특별자치도 춘천시 북산면 오항리 398,9,2,0,0,0,0,3,0,14,,,
강원특별자치도 춘천시 신북읍 신북로 262,강원특별자치도 춘천시 신북읍 산천리 342-2,105,11,52,11,20,4,0,1,204,,,
경상남도 양산시 동면 양산대로 618,경상남도 양산시 동면 석산리 392,78,3,21,18,11,0,2,3,136,,,
경기도 광주시 이배재로 209-5,경기도 광주시 목현동 42-1번지,26,21,33,9,11,2,4,3,109,,,
충청남도 금산군 금성면 의총길 25,,50,28,55,49,65,0,0,0,247,,,
충청남도 예산군 신암면 오신로 852,충청남도 예산군 신암면 종경리 281-22,162,16,28,25,68,7,3,2,311,,,
충청남도 예산군 신양면 예당남로 700,충청남도 예산군 신양면 녹문리 370-1,106,5,12,13,40,3,0,0,179,,,
강원특별자치도 고성군 현내면 화진포서길 146,,68,5,29,11,27,2,2,0,144,,,
대전광역시 유성구 교촌대정로 97,대전광역시 유성구 교촌동 568,4,5,14,8,18,0,0,0,49,,,
전라남도 완도군 완도읍 청해진로 1263-82,,48,4,20,12,6,3,0,0,93,,,
전라남도 함평군 학교면 학교화산길 88,전라남도 함평군 학교면 월산리 1544-2,24,1,13,6,12,0,3,2,61,,,
전라남도 함평군 해보면 해삼로 392-12,전라남도 함평군 해보면 문장리 647,24,4,8,4,14,0,3,0,57,,,
전라남도 함평군 손불면 손무로 728,전라남도 함평군 손불면 대전리 190-3,22,0,9,5,17,0,2,0,55,,,
강원특별자치도 횡성군 서원면 서원로 454,강원특별자치도 횡성군 서원면 압곡리 271,13,8,11,3,26,3,4,0,68,,,
강원특별자치도 횡성군 둔내면 고원남로 38,강원특별자치도 횡성군 둔내면 자포곡리 463-75,44,11,14,15,33,2,2,0,121,,,
강원특별자치도 횡성군 공근면 영서로 152-1,강원특별자치도 횡성군 공근면 학담리 786,148,27,21,45,75,5,12,0,333,,,
충청남도 홍성군 홍성읍 내포로 230,충청남도 홍성군 홍성읍 옥암리 420-4,143,21,64,47,55,29,4,0,363,,,
대구광역시 달성군 옥포읍 비슬로 2040,대구광역시 달성군 옥포읍 교항리 2521-7,259,34,97,18,40,3,10,3,464,,,
경상북도 안동시 풍산읍 풍산태사로 948-16,경상북도 안동시 풍산읍 안교리 539-5,76,18,35,21,25,17,0,0,192,,,
경상북도 안동시 와룡면 퇴계로 1281,경상북도 안동시 와룡면 가야리 990,88,22,32,27,23,18,0,0,210,,,
전라남도 보성군 조성면 조성대동길 54,전라남도 보성군 조성면 우천리 169-1,38,12,14,1,8,10,0,0,83,,,
전북특별자치도 정읍시 정우면 정우남로 282,전북특별자치도 정읍시 정우면 우산리 661,134,38,40,49,39,0,0,4,304,,,
경상남도 창원시 마산합포구 진북면 지산1길 130,경상남도 창원시 마산합포구 진북면 지산리 262-10,1,3,11,6,13,1,0,4,39,,,
경상남도 창원시 의창구 동읍 봉강가술로 70,경상남도 창원시 의창구 동읍 봉곡리 176-1,2,2,36,13,14,0,0,19,86,,,
경상남도 창원시 진해구 웅천로 218,경상남도 창원시 진해구 성내동 476-2,1,2,5,1,2,0,0,1,12,,,
전북특별자치도 김제시 동서로 46,,265,0,113,35,38,36,0,0,487,,,
,전북특별자치도 김제시 봉남면 대송리 708-2,130,0,57,17,31,15,0,0,250,,,
경상북도 청도군 금천면 청려로 4312,경상북도 청도군 금천면 동곡리 1076,42,9,18,12,22,0,0,0,103,,,
경상남도 거창군 거창읍 거함대로 3322,경상남도 거창군 거창읍 대평리 1359-19,85,28,86,12,41,3,10,1,266,,,
경상남도 거창군 주상면 당대고개길 86,경상남도 거창군 주상면 도평리 462-1,53,11,15,12,12,5,5,0,113,,,
경상남도 거창군 위천면 송계로 326-31,경상남도 거창군 위천면 장기리 269-9,42,20,34,14,9,0,2,0,121,,,
경상남도 거창군 가조면 가북로 20,경상남도 거창군 가조면 장기리 1569,38,16,42,10,11,4,4,0,125,,,
경상남도 거창군 신원면 신차로 3013,경상남도 거창군 신원면 과정리 967,33,14,26,9,9,3,3,0,97,,,
인천광역시 강화군 불은면 중앙로 742-2,인천광역시 강화군 불은면 삼성리 1027-42,119,10,40,24,28,2,0,0,223,,,
인천광역시 강화군 교동면 교동남로 333,인천광역시 강화군 교동면 상용리 876-9,62,3,17,3,17,0,0,0,102,,,
인천광역시 강화군 삼산면 삼산북로 468-8,인천광역시 강화군 삼산면 석모리 525-1,54,1,11,2,13,0,0,0,81,,,
강원특별자치도 홍천군 홍천읍 홍천로 677,,93,22,59,10,46,10,28,20,288,,,
강원특별자치도 홍천군 남면 시동로 50,,44,9,24,5,14,2,9,6,113,,,
강원특별자치도 홍천군 서석면 구룡령로 2429,,82,9,72,6,29,2,15,3,218,,,
강원특별자치도 홍천군 서면 감물악길 72,,39,11,22,3,15,3,6,10,109,,,
강원특별자치도 홍천군 내면 구룡령로 5100,,48,2,26,8,10,0,0,0,94,,,
강원특별자치도 홍천군 두촌면 북창길 24,,38,7,22,6,20,3,9,6,111,,,
충청남도 천안시 동남구 성남면 성남로 360,충청남도 천안시 동남구 성남면 신사리 559-20,134,21,69,27,28,3,4,1,287,,,
충청남도 천안시 서북구 성거읍 오목모전길38-17,충청남도 천안시 서북구 성거읍 오목리 산 35-1,81,19,49,22,31,2,2,1,207,,,
전라남도 곡성군 곡성읍 학정3길9,,9,4,0,20,16,3,8,0,60,,,
경기도 남양주시 진건읍 사릉로 234-46,경기도 남양주시 진건읍 사능리 92-1번지,76,1,25,2,16,5,16,11,152,,,
강원특별자치도 태백시 구와우길 34-6,강원특별자치도 태백시 황지동 288-5,40,13,39,3,1,1,0,0,97,,,
전라남도 진도군 군내면 가흥로 691,,122,2,44,17,13,0,12,2,212,,,
전라남도 진도군 임회면 광석길 35,,141,1,43,10,20,0,14,2,231,,,
전라남도 진도군 조도면 조도대로 512,,29,5,23,1,4,0,1,0,63,,,
경상북도 안동시 경동로 1462-28,경상북도 안동시 송천동 1319-68,102,18,33,24,36,28,0,0,241,,,
강원특별자치도 횡성군 갑천면 청정로 295,강원특별자치도 횡성군 갑천면 매일리 627-7,13,11,16,6,22,3,5,0,76,,,
강원특별자치도 횡성군 안흥면 안흥동2길 119,강원특별자치도 횡성군 안흥면 안흥리 1088-1,21,11,16,6,25,3,3,0,85,,,
전라남도 해남군 문내면 심동길 7,전라남도 해남군 문내면 용암리 889,52,3,9,6,18,1,0,0,89,,,
전라남도 해남군 현산면 매화길 37-15,전라남도 해남군 현산면 월송리 207,50,3,10,9,23,1,0,0,96,,,
전라남도 해남군 산이면 원금길 428,전라남도 해남군 산이면 금송리 847-2,54,2,10,9,22,1,0,0,98,,,
경상남도 함안군 가야읍 삼봉로 422,경상남도 함안군 가야읍 묘사리 910,113,5,28,17,20,0,0,0,183,,,
경상남도 함안군 칠서면 회산길 108,경상남도 함안군 칠서면 회산리 34-3,98,5,16,154,15,0,1,0,289,,,
경상남도 함안군 산인면 서봉로 13,경상남도 함안군 산인면 부봉리 469-1,25,0,6,8,8,0,1,0,48,,,
전라남도 장흥군 장흥읍 잣두길 8,전라남도 장흥군 장흥읍 행원리 982-5,132,4,41,9,11,22,3,2,224,,,
전라남도 장흥군 관산읍 장흥대로 1375,전라남도 장흥군 관산읍 외동리 35,66,2,25,4,9,5,4,2,117,,,
전라남도 장흥군 장평면 곰치로 256,전라남도 장흥군 장동면 조양리 873-1,51,4,22,2,8,2,0,0,89,,,
충청북도 제천시 봉양읍 제천북로3길20,충청북도 제천시 봉양읍 미당리 211-11,159,0,85,56,70,0,0,8,378,,,
전라남도 신안군 압해읍 압해로 1042,전라남도 신안군 압해읍 동서리 520,110,1,8,5,6,0,0,1,131,,,
전라남도 신안군 지도읍 봉리길 112,전라남도 신안군 지도읍 광정리 1040,99,0,10,2,4,0,0,0,115,,,
전라남도 신안군 증도면 문준경길 227-28,전라남도 신안군 증도면 증동리 1971-2,74,0,10,2,5,0,0,0,91,,,
전라남도 신안군 임자면 임자로 113-4,전라남도 신안군 임자면 진리 431-35,95,0,10,4,5,0,0,0,114,,,
전북특별자치도 정읍시 소성면 보화1길 88,전북특별자치도 정읍시 소성면 보화리 455-2,54,27,33,25,22,0,0,2,163,,,
전라남도 신안군 자은면 구영2길 28-10,전라남도 신안군 자은면 구영리 378-1,103,1,15,3,3,0,0,0,125,,,
전라남도 신안군 비금면 서남문로 811,전라남도 신안군 비금면 덕산리 145-43,94,1,10,3,4,0,0,0,112,,,
전라남도 신안군 도초면 서남문로 1527,전라남도 신안군 도초면 수항리324-2,74,1,8,1,3,0,0,1,88,,,
전라남도 신안군 하의면 곰실길 12,전라남도 신안군 하의면 웅곡리 250-2,54,1,9,2,3,0,2,0,71,,,
전라남도 신안군 신의면 가락길 12,전라남도 신안군 신의면 상태동리 602-1,55,4,7,1,2,0,0,0,69,,,
전라남도 신안군 장산면 현터길 6,전라남도 신안군 장산면 대리 99-1,81,0,9,2,4,0,0,0,96,,,
전라남도 신안군 안좌면 중부로 692,전라남도 신안군 안좌면 대척리 685-1,96,0,12,2,5,0,0,0,115,,,
전라남도 신안군 팔금면 삼층석탑길 145,전라남도 신안군 팔금면 읍리 417-1,59,0,9,2,2,0,0,1,73,,,
전라남도 신안군 암태면 승봉로 12,전라남도 신안군 암태면 단고리 968-4,68,0,10,2,2,0,0,1,83,,,
전북특별자치도 군산시 개정면 운회길 32,전북특별자치도 군산시 개정면 운회리 633-7,117,3,64,13,30,15,0,1,243,,,
전북특별자치도 군산시 임피면 서원석곡로 584,전북특별자치도 군산시 임피면 읍내리 204-2,63,2,31,8,23,23,0,1,151,,,
전북특별자치도 군산시 옥서면 옥봉들3길 12,전북특별자치도 군산시 옥서면 옥봉리 1316-3,60,2,26,6,16,13,0,0,123,,,
전라남도 광양시 봉강면 인덕로 1169-20,전라남도 광양시 봉강면 지곡리 862-36,55,16,208,15,36,10,16,48,404,,,
전라남도 광양시 진상면 지원길 16,전라남도 광양시 진상면 지원리 1528-1,16,8,39,3,7,1,2,5,81,,,
경상북도 영천시 청통면 호당1길 66-17,경상북도 영천시 청통면 호당리 436,179,67,151,35,61,32,0,0,525,,,
전라남도 담양군 담양읍 면앙정로 730,전라남도 담양군 담양읍 천변리 396-2,146,21,48,16,10,0,22,6,269,,,
전라남도 담양군 창평면 용운길 31,전라남도 담양군 창평면 삼천리 192-3,63,10,20,9,6,0,5,3,116,,,
전북특별자치도 고창군 고창읍 중거리당산로 94,전북특별자치도 고창군 고창읍 읍내리 515-1,5,2,30,22,37,15,0,2,113,,,
전북특별자치도 고창군 해리면 동시길 15,전북특별자치도 고창군 해리면 하련리 104-4,4,2,30,22,35,22,0,1,116,,,
전북특별자치도 고창군 대산면 칠거리로 411-7,전북특별자치도 고창군 대산면 성남리 635-1,3,3,29,18,32,20,0,2,107,,,
전북특별자치도 고창군 흥덕면 죽정길 5,전북특별자치도 고창군 흥덕면 동사리 167-1,4,2,18,16,30,18,0,1,89,,,
경상남도 합천군 용주면 고품부흥1길 7,경상남도 합천군 용주면 고품리 910-302,198,8,33,0,23,20,6,17,305,,,
강원특별자치도 원주시 흥업면 흥대길 7,강원특별자치도 원주시 흥업면 흥업리 1572-5,29,7,27,10,24,4,15,11,127,,,
강원특별자치도 원주시 소초면 치악로 2810-5,강원특별자치도 원주시 소초면 평장리 808,26,6,18,8,22,2,9,8,99,,,
강원특별자치도 원주시 문막읍 건등로 11,강원특별자치도 원주시 문막읍 건등리 1718,30,6,22,9,23,4,9,10,113,,,
강원특별자치도 원주시 신림면 치악로 28-9,강원특별자치도 원주시 신림면 신림리 526,19,2,14,5,17,2,3,4,66,,,
전라남도 보성군 보성읍 녹차로 1357,전라남도 보성군 보성읍 옥평리 781,44,13,15,3,10,10,0,0,95,,,
전라남도 보성군 벌교읍 채동선로 578-8,전라남도 보성군 벌교읍 고읍리 1549-1,33,11,13,5,15,10,0,0,87,,,
전라남도 보성군 복내면 송재로 1670,전라남도 보성군 복내면 유정리 796,38,12,15,2,8,10,0,0,85,,,
전라북도 순창군 유등면 담순로 1548,전라북도 순창군 유등면 건곡리 750-1,123,11,9,16,13,21,1,55,249,,,
전라북도 순창군 구림면 삭골길 37,전라북도 순창군 구림면 월정리 498-1,71,8,10,16,12,15,0,10,142,,,
경상남도 합천군 용주면 고품부흥1길 7,경상남도 합천군 용주면 고품리 910-302,206,10,37,6,12,5,8,17,301,,,
경상남도 합천군 적중면 황강옥전로 1889,경상남도 합천군 적중면 부수리 403,148,9,32,1,6,4,0,2,202,,,
경상남도 합천군 삼가면 서부로 170,경상남도 합천군 삼가면 하판리 1314-3,109,8,24,3,7,1,0,2,154,,,
경상남도 합천군 야로면 미숭산로 21,경상남도 합천군 야로면 야로리 225-5,102,8,19,4,4,1,0,2,140,,,
경상남도 창녕군 대지면 우포2로 1069-15,경상남도 창녕군 대지면 효정리 291,228,32,38,7,21,12,2,6,346,,,
경상남도 창녕군 도천면 신제로 357-3,경상남도 창녕군 도천면 일리 666,218,33,34,5,23,13,0,7,333,,,
경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10번지,28,0,22,4,5,0,0,1,60,,,
대구광역시 군위군 효령면 효우로 97,대구광역시 군위군 효령면 성리 111-2,131,37,22,35,23,3,0,5,256,,,
대구광역시 군위군 산성면 산성가음로 998,대구광역시 군위군 산성면 화전리 269외,36,18,10,13,4,2,0,0,83,,,
충청남도 서산시 인지면 무학재1길 99,충청남도 서산시 인지면 산동리 565-1,100,11,19,45,54,7,0,0,236,,,
충청남도 서산시 운산면 홍안벌로 501,충청남도 서산시 운산면 거성리 340-19,89,11,14,45,41,6,0,0,206,,,
충청남도 서산시 성연면 생동사동길 21,충청남도 서산시 성연면 오사리 386-1,79,7,13,39,35,5,0,0,178,,,
충청남도 서산시 대산읍 대산1로 70,충청남도 서산시 대산읍 대산리 91-24,75,10,12,35,40,4,0,0,176,,,
경기도 파주시 월롱면 통일로620번길 35,경기도 파주시 월롱면 영태리 379-2,74,4,40,12,39,1,0,1,171,,,
경기도 파주시 파평면 청송로 503-5,경기도 파주시 파평면 덕천리 479,126,3,31,19,38,1,0,1,219,,,
전라남도 무안군 일로읍 백련로 112,전라남도 무안군 일로읍 용산리 1363,37,0,21,0,12,18,0,1,89,,,
전라남도 무안군 해제면 현해로 1605,전라남도 무안군 해제면 양매리 431-35,48,0,18,3,11,17,0,1,98,,,
경상북도 청송군 청송읍 주왕산로 172-9,경상북도 청송군 청송읍 송생리 715,115,8,57,6,21,5,8,9,229,,,
경상북도 청송군 안덕면 안덕로 47,경상북도 청송군 안덕면 명당리 368,34,5,22,4,15,4,3,0,87,,,
경상북도 청송군 진보면 양정길 47,경상북도 청송군 진보면 각산리 501-1,57,4,33,5,6,5,4,1,115,,,
경상남도 김해시 전하로198번길 102(전하동),경상남도 김해시 전하동 900,75,6,15,10,6,5,0,0,117,,,
경상남도 김해시 한림면 한림로618번길 36,경상남도 김해시 한림면 장방리 1403,102,5,34,13,7,0,0,4,165,,,
경상남도 김해시 대동면 동남로41번길 25-15,경상남도 김해시 대동면 초정리 952-670,30,3,17,5,4,4,0,2,65,,,
충청북도 보은군 보은읍 남부로 4737,충청북도 보은군 보은읍 강산리 55-1,160,101,155,81,90,2,7,7,603,,,
경상남도 하동군 적량면 한옥정길 91,경상남도 하동군 적량면 동산리 1694,110,31,54,28,24,10,3,14,274,,,
경기도 안성시 보개면 보개원삼로 219,경기도 안성시 보개면 불현리 189-2,38,2,27,12,20,14,0,0,113,,,
경기도 안성시 죽산면 상삼로 95,경기도 안성시 죽산면 두현리 456-6,69,3,40,14,23,16,0,0,165,,,
경기도 안성시 양성면 만세로 523-34,경기도 안성시 양성면 덕봉리 88-35,63,2,36,16,19,19,0,0,155,,,
경기도 안성시 서운면 안성맞춤대로 237-23,경기도 안성시 서운면 송산리 205-5번지,61,2,23,14,18,21,0,0,139,,,
경상남도 남해군 이동면 남해대로 2465-9,경상남도 남해군 이동면 다정리 953,48,23,29,3,0,0,3,0,106,,,
경상남도 남해군 삼동면 동부대로 1740-20,경상남도 남해군 삼동면 금송리 706-10,22,10,15,2,0,4,1,0,54,,,
경상남도 남해군 고현면 남해대로 3264-55,경상남도 남해군 고현면 도마리 1891-1,28,8,24,4,0,0,1,0,65,,,
경기도 평택시 오성면 청오로 33-58,경기도 평택시 오성면 숙성리 95-3,188,26,82,36,35,0,0,0,367,,,
경기도 평택시 진위면 신리길 150,경기도 평택시 진위면 마산리 257,82,15,24,15,26,0,0,0,162,,,
전라남도 여수시 주동1길 32,전라남도 여수시 주삼동 775,52,0,35,9,5,9,4,2,116,,,
강원특별자치도 고성군 간성읍 간성북로 87,강원특별자치도 고성군 간성읍 신안리 390,62,7,21,10,31,6,2,6,145,,,
강원특별자치도 고성군 토성면 천금길 144,,80,5,24,10,29,3,3,0,154,,,
