시군별,2023년 농가,2023년 귀농 인구,귀농 비율,정곡_10a당_생산량_kg,현미_10a당_생산량_kg,조곡_10a당_생산량_kg,10a당 총 쌀 생산량,종합 점수,유통망 수,미곡처리장 수,총 임대 농기계 수,총저수량,총 저수량 규모별 (개)
경기 수원시,3575,0.0,0.0,0,0,0,0,0.0286883833160978,0.0,0.0,31,390.0,2.0
경기 성남시,1137,0.0,0.0,470,506,634,1610,0.4160393485314049,0.0,0.0,285,970.0,2.0
경기 안양시,1020,0.0,0.0,0,0,0,0,0.0066701137538779,0.0,0.0,285,,
경기 부천시,1036,0.0,0.0,467,503,610,1580,0.4083331615195106,0.0,0.0,285,0.0,0.0
경기 광명시,648,0.0,0.0,467,503,610,1580,0.4049894869245434,0.0,0.0,285,28.0,1.0
경기 평택시,7946,73.0,0.0091870123332494,491,529,674,1694,0.6083069621464811,0.0,0.0,529,606.0,15.0
경기 안산시,1659,0.0,0.0,492,529,642,1663,0.4348067638893522,1.0,0.0,285,320.0,2.0
경기 과천시,246,0.0,0.0,470,506,634,1610,0.4083609617682198,0.0,0.0,285,1102.0,2.0
경기 오산시,1132,0.0,0.0,470,506,634,1610,0.4159962599412636,0.0,0.0,285,597.0,6.0
경기 시흥시,1321,0.0,0.0,467,503,610,1580,0.4107892111575664,0.0,0.0,285,3460.0,7.0
경기 군포시,596,0.0,0.0,470,506,634,1610,0.4113771630781129,0.0,0.0,285,1477.0,2.0
경기 의왕시,673,0.0,0.0,470,506,634,1610,0.4120407273662894,0.0,0.0,285,3516.0,3.0
경기 하남시,719,0.0,0.0,470,506,634,1610,0.4124371423955897,0.0,0.0,285,34.0,1.0
경기 용인시,6913,56.0,0.0081006798784898,492,530,651,1673,0.5747827752528334,1.0,1.0,148,38197.0,53.0
경기 이천시,7908,84.0,0.0106221547799696,518,557,676,1751,0.6410256996807363,0.0,0.0,269,2852.0,17.0
경기 안성시,9421,81.0,0.0085978133956055,485,523,640,1648,0.6135910629380227,0.0,4.0,572,48802.0,62.0
경기 김포시,5187,58.0,0.0111818006554848,497,535,680,1712,0.5881925678130692,0.0,0.0,318,305.0,7.0
경기 화성시,9819,160.0,0.0162949383847642,503,542,700,1745,0.7494050902532141,1.0,0.0,397,10422.0,40.0
경기 광주시,3928,33.0,0.0084012219959266,501,539,655,1695,0.5376831093360407,0.0,0.0,109,1274.0,9.0
경기 여주시,6398,102.0,0.015942482025633,521,561,681,1763,0.6762848937717526,0.0,0.0,321,4830.0,12.0
경기 양평군,5805,120.0,0.020671834625323,469,505,634,1608,0.6728433575088572,0.0,0.0,194,2986.0,25.0
경기 의정부시,1055,0.0,0.0,483,520,641,1644,0.4243630869314623,0.0,0.0,285,,
경기 동두천시,630,0.0,0.0,483,520,641,1644,0.4207005567694491,0.0,0.0,285,0.0,0.0
경기 고양시,5266,0.0,0.0,503,542,694,1739,0.4837511625425171,0.0,0.0,60,0.0,0.0
경기 구리시,437,0.0,0.0,0,0,0,0,0.0016459841433988,0.0,0.0,285,,
경기 남양주시,3558,61.0,0.0171444631815626,483,520,641,1644,0.5942316291970137,0.0,0.0,152,2980.0,7.0
경기 파주시,7012,50.0,0.0071306332002281,501,540,684,1725,0.577531423315572,0.0,20.0,390,8744.0,7.0
경기 양주시,3153,24.0,0.0076117982873453,483,520,641,1644,0.5057410297661866,0.0,1.0,479,6381.0,12.0
경기 포천시,5355,60.0,0.011204481792717,499,537,667,1703,0.589740755144364,0.0,0.0,283,8778.0,29.0
경기 연천군,2844,32.0,0.0112517580872011,500,539,661,1700,0.544806168878368,0.0,1.0,302,1757.0,3.0
경기 가평군,3235,39.0,0.0120556414219474,450,485,610,1545,0.5185934296805346,0.0,6.0,288,185.0,2.0
경남 창원시,13170,40.0,0.0030372057706909,516,556,693,1765,0.6095343288856193,4.0,0.0,235,24949.0,170.0
경남 진주시,12211,60.0,0.0049136024895585,492,529,658,1679,0.6067644637454829,1.0,2.0,816,22766.0,270.0
경남 통영시,3269,20.0,0.0061180789232181,493,531,658,1682,0.5044112375452027,0.0,0.0,791,1543.0,48.0
경남 사천시,5654,49.0,0.0086664308454191,497,535,663,1695,0.5667618438077134,3.0,0.0,200,23003.0,154.0
경남 김해시,8175,43.0,0.0052599388379204,491,528,667,1686,0.561313330805734,5.0,1.0,694,5025.0,129.0
경남 밀양시,9431,114.0,0.0120877955678082,499,537,679,1715,0.6770491817206471,0.0,0.0,403,20642.0,205.0
경남 거제시,5595,39.0,0.006970509383378,483,519,652,1654,0.5375940009858525,0.0,0.0,193,3497.0,100.0
경남 양산시,2761,33.0,0.0119521912350597,485,522,655,1662,0.5387179630893523,0.0,0.0,287,1890.0,50.0
경남 의령군,3956,50.0,0.012639029322548,519,559,699,1777,0.5962138929582564,0.0,0.0,1088,19333.0,163.0
경남 함안군,5113,56.0,0.0109524740856639,491,529,670,1690,0.579094702149316,0.0,0.0,869,8409.0,191.0
경남 창녕군,6977,87.0,0.0124695427834312,510,549,696,1755,0.6458700774176903,0.0,0.0,1815,16770.0,224.0
경남 고성군,5370,17.0,0.0031657355679702,504,543,681,1728,0.5145261955204009,2.0,0.0,1286,23620.0,218.0
경남 남해군,6645,74.0,0.0111361926260346,471,508,643,1622,0.590959701607561,0.0,0.0,377,12468.0,167.0
경남 하동군,5974,86.0,0.0143957147639772,481,517,645,1643,0.6194470245819578,2.0,1.0,888,44530.0,153.0
경남 산청군,5376,123.0,0.0228794642857142,486,523,641,1650,0.6954996981332777,0.0,0.0,637,22401.0,222.0
경남 함양군,4708,72.0,0.0152931180968564,547,589,720,1856,0.6566949506776495,6.0,3.0,529,15385.0,179.0
경남 거창군,5535,98.0,0.0177055103884372,532,573,693,1798,0.6846112428510819,1.0,0.0,1519,24098.0,178.0
경남 합천군,6353,98.0,0.0154257830946009,503,542,680,1725,0.6591132871287997,6.0,1.0,1616,22879.0,337.0
경북 포항시,12988,94.0,0.0072374499538035,516,556,701,1773,0.678242185089618,0.0,0.0,327,46624.0,275.0
경북 경주시,12178,94.0,0.0077188372474954,519,559,691,1769,0.6735365875561553,1.0,0.0,630,86871.0,391.0
경북 김천시,12605,130.0,0.0103133677112257,506,545,678,1729,0.7114244979564069,0.0,0.0,370,9911.0,252.0
경북 안동시,11416,108.0,0.0094604064470918,549,591,738,1878,0.7158630985067318,9.0,0.0,643,13783.0,180.0
경북 구미시,9912,57.0,0.0057506053268765,571,614,753,1938,0.6553983220186185,0.0,0.0,539,20861.0,200.0
경북 영주시,7992,52.0,0.0065065065065065,540,582,723,1845,0.6150226553269972,1.0,0.0,495,16013.0,63.0
경북 영천시,7968,159.0,0.0199548192771084,497,535,670,1702,0.7434727723293081,17.0,9.0,525,37399.0,980.0
경북 상주시,13652,167.0,0.0122326399062408,573,617,772,1962,0.8208990377702753,13.0,0.0,1056,35075.0,216.0
경북 문경시,7539,104.0,0.0137949330149887,576,620,775,1971,0.727485787095309,1.0,0.0,369,36927.0,47.0
경북 경산시,6812,51.0,0.0074867880211391,521,561,692,1774,0.5918207610582616,3.0,0.0,271,27406.0,295.0
경북 의성군,8637,202.0,0.023387750376288,547,589,739,1875,0.8481557539854427,0.0,0.0,498,39544.0,696.0
경북 청송군,5299,82.0,0.0154746178524249,523,563,697,1783,0.6521960602598426,7.0,0.0,431,16422.0,188.0
경북 영양군,2896,40.0,0.0138121546961325,509,548,676,1733,0.5747351160041564,0.0,0.0,327,11326.0,104.0
경북 영덕군,3102,52.0,0.0167633784655061,508,547,674,1729,0.602287215258946,1.0,2.0,153,22445.0,118.0
경북 청도군,6582,108.0,0.0164083865086599,499,537,680,1716,0.672450952862634,0.0,2.0,324,24505.0,287.0
경북 고령군,3930,69.0,0.0175572519083969,497,535,694,1726,0.6258779065471102,1.0,0.0,700,10297.0,167.0
경북 성주군,5836,93.0,0.0159355723098012,486,523,665,1674,0.6401932807818328,12.0,0.0,308,50042.0,176.0
경북 칠곡군,4601,31.0,0.0067376657248424,512,551,696,1759,0.5475525138408533,0.0,0.0,339,11164.0,183.0
경북 예천군,7974,117.0,0.0146726862302483,548,589,736,1873,0.7221540177441129,3.0,0.0,570,11905.0,117.0
경북 봉화군,5716,91.0,0.0159202239328201,530,571,709,1810,0.6725183574699498,0.0,0.0,404,13725.0,44.0
경북 울진군,4151,40.0,0.0096362322331968,511,550,674,1735,0.5623741686411358,0.0,0.0,806,7160.0,21.0
경북 울릉군,452,9.0,0.0199115044247787,0,0,0,0,0.1229810177725303,0.0,0.0,480,,
전남 목포시,1506,0.0,0.0,492,530,647,1669,0.4348323390525329,0.0,0.0,413,282.0,14.0
전남 여수시,9023,43.0,0.0047655990247146,488,525,646,1659,0.5596057205603817,2.0,0.0,116,7766.0,66.0
전남 순천시,12664,95.0,0.0075015792798483,507,546,667,1720,0.6651802707245861,1.0,0.0,248,9340.0,68.0
전남 나주시,10708,126.0,0.0117669032499066,476,513,625,1614,0.6714017186321183,0.0,0.0,953,127945.0,220.0
전남 광양시,6892,43.0,0.0062391178177597,493,531,645,1669,0.5525060795526007,0.0,0.0,485,7024.0,36.0
전남 담양군,6621,119.0,0.0179731158435281,447,482,577,1506,0.6388224817741923,0.0,0.0,385,104359.0,117.0
전남 곡성군,4598,108.0,0.0234884732492388,434,467,567,1468,0.6338848888718842,3.0,1.0,60,25496.0,132.0
전남 구례군,4246,47.0,0.0110692416391898,486,524,639,1649,0.5554071292601254,2.0,0.0,230,16140.0,56.0
전남 고흥군,9039,132.0,0.0146033853302356,502,540,668,1710,0.702206235815133,0.0,0.0,123,40908.0,277.0
전남 보성군,7093,92.0,0.0129705343296207,444,478,640,1562,0.6036316996053049,3.0,13.0,350,26431.0,129.0
전남 화순군,5967,78.0,0.0130718954248366,479,516,638,1633,0.602868461299716,5.0,0.0,302,37559.0,160.0
전남 장흥군,5593,66.0,0.0118004648667977,450,485,661,1596,0.5707008267057299,0.0,0.0,430,27096.0,115.0
전남 강진군,5366,77.0,0.0143496086470369,479,516,639,1634,0.6043804024324912,1.0,0.0,413,39643.0,134.0
전남 해남군,11074,118.0,0.0106555896694961,480,517,643,1640,0.6677084240143728,0.0,5.0,515,44179.0,374.0
전남 영암군,6917,98.0,0.0141679919040046,493,531,676,1700,0.6500755790451688,0.0,0.0,435,23506.0,224.0
전남 무안군,7172,98.0,0.0136642498605688,492,530,637,1659,0.6404493053495403,0.0,0.0,449,11811.0,179.0
전남 함평군,5522,97.0,0.017566099239406,496,533,639,1668,0.6500952368066262,0.0,0.0,173,20794.0,159.0
전남 영광군,6048,80.0,0.0132275132275132,489,526,639,1654,0.6119026503882009,1.0,0.0,741,34338.0,196.0
전남 장성군,6079,90.0,0.0148050666227998,479,515,619,1613,0.619283632525147,0.0,2.0,384,131145.0,122.0
전남 완도군,3341,45.0,0.0134690212511224,474,510,642,1626,0.5530804539898287,0.0,0.0,93,5114.0,49.0
전남 진도군,4579,46.0,0.0100458615418213,473,509,611,1593,0.5377885230696758,0.0,0.0,506,19725.0,134.0
전남 신안군,6825,105.0,0.0153846153846153,492,530,647,1669,0.6552157325233049,1.0,0.0,1283,14082.0,246.0
전북 전주시,6551,0.0,0.0,500,538,658,1696,0.4851396703522083,0.0,0.0,70,5059.0,49.0
전북 군산시,6558,36.0,0.0054894784995425,520,560,688,1768,0.5644240416791368,2.0,6.0,517,26107.0,97.0
전북 익산시,10674,78.0,0.0073074761101742,518,558,692,1768,0.6446804691465108,1.0,5.0,296,9364.0,134.0
전북 정읍시,10396,101.0,0.0097152751058099,525,565,701,1791,0.6808631598920925,1.0,0.0,782,34228.0,223.0
전북 남원시,7375,85.0,0.0115254237288135,549,591,728,1868,0.6717115633830266,5.0,30.0,957,21520.0,278.0
전북 김제시,7608,119.0,0.0156414300736067,541,583,712,1836,0.7173861205558244,0.0,0.0,708,24958.0,123.0
전북 완주군,7392,115.0,0.0155573593073593,484,521,636,1641,0.6622401508064314,0.0,0.0,575,118933.0,173.0
전북 진안군,3457,69.0,0.0199595024587792,502,540,662,1704,0.6314379967725823,1.0,1.0,139,17783.0,140.0
전북 무주군,3995,56.0,0.0140175219023779,535,576,705,1816,0.619867424150428,4.0,0.0,312,11230.0,75.0
전북 장수군,3504,49.0,0.0139840182648401,541,583,704,1828,0.6130718754612126,4.0,1.0,604,69705.0,79.0
전북 임실군,3349,83.0,0.0247835174679008,500,539,670,1709,0.6704971475926863,0.0,0.0,400,276049.0,193.0
전북 순창군,4793,91.0,0.0189860212810348,495,532,650,1677,0.6487836878940909,0.0,0.0,391,21342.0,171.0
전북 고창군,7946,129.0,0.0162345834382079,527,567,692,1786,0.7192861056660472,1.0,0.0,425,49478.0,345.0
전북 부안군,6857,88.0,0.0128336007000145,508,547,663,1718,0.6395282524085996,0.0,0.0,804,34570.0,95.0
제주 제주시,17170,137.0,0.0079790331974373,0,0,0,0,0.3044770389546667,0.0,0.0,293,2749.0,9.0
제주 서귀포시,13186,106.0,0.0080388290611254,395,426,555,1376,0.5930731324473418,21.0,0.0,84,1552.0,2.0
세종시,6573,0.0,0.0,0,0,0,0,0.0545243019648397,0.0,0.0,466,0.0,0.0
충남 천안시,9876,58.0,0.0058728230052652,518,557,688,1763,0.6119748299945365,8.0,11.0,494,13195.0,71.0
충남 공주시,10101,87.0,0.0086130086130086,536,577,712,1825,0.6692453805049247,0.0,0.0,544,20933.0,80.0
충남 보령시,6822,79.0,0.0115801817648783,533,574,704,1811,0.6479475609017892,2.0,0.0,192,31354.0,98.0
충남 아산시,8556,101.0,0.0118045815801776,546,588,726,1860,0.6945809815331621,5.0,0.0,467,26974.0,44.0
충남 서산시,10623,121.0,0.0113903793655276,542,583,723,1848,0.7233819303453691,0.0,0.0,796,30737.0,50.0
충남 논산시,9599,103.0,0.0107302844046254,541,582,721,1844,0.69494565414772,0.0,0.0,445,41076.0,75.0
충남 계룡시,480,14.0,0.0291666666666666,541,582,721,1844,0.6482790959967304,0.0,0.0,73,118.0,7.0
충남 당진시,10695,111.0,0.0103786816269284,569,613,755,1937,0.7327291875851835,0.0,0.0,824,7003.0,41.0
충남 금산군,6235,103.0,0.0165196471531676,519,559,686,1764,0.6789623053893492,2.0,0.0,247,7256.0,91.0
충남 부여군,7119,103.0,0.0144683242028374,535,576,728,1839,0.6930903028631428,17.0,0.0,599,23279.0,107.0
충남 서천군,6741,90.0,0.0133511348464619,551,593,721,1865,0.6804169394205707,0.0,0.0,199,27486.0,19.0
충남 청양군,5569,65.0,0.0116717543544622,544,586,731,1861,0.6383368054722259,0.0,0.0,557,26999.0,90.0
충남 홍성군,9365,92.0,0.0098238120662039,546,588,730,1864,0.6836685049605427,0.0,4.0,363,11658.0,44.0
충남 예산군,8486,107.0,0.0126090030638699,548,590,742,1880,0.7080821288405752,1.0,0.0,669,62491.0,32.0
충남 태안군,6895,99.0,0.0143582306018854,528,568,701,1797,0.6772480454903785,0.0,0.0,690,13103.0,49.0
충북 청주시,17457,96.0,0.0054992266712493,512,551,683,1746,0.7020997663318548,0.0,4.0,403,17841.0,174.0
충북 충주시,10001,63.0,0.0062993700629937,530,570,708,1808,0.6308827901947254,9.0,33.0,450,23732.0,71.0
충북 제천시,6300,59.0,0.0093650793650793,565,608,746,1919,0.6417210361971785,3.0,0.0,378,5953.0,52.0
충북 보은군,4434,63.0,0.0142083897158322,514,553,683,1750,0.6135264857588185,1.0,0.0,603,29502.0,61.0
충북 옥천군,5256,81.0,0.0154109589041095,499,537,664,1700,0.6296061845076105,1.0,0.0,339,16364.0,88.0
충북 영동군,6567,92.0,0.0140094411451195,484,521,644,1649,0.6290288192094996,0.0,0.0,469,10195.0,75.0
충북 증평군,1397,9.0,0.0064423765211166,501,539,655,1695,0.4848762820952792,0.0,10.0,241,3190.0,14.0
충북 진천군,4479,40.0,0.0089305648582272,514,553,692,1759,0.5667138700649754,2.0,0.0,529,54871.0,50.0
충북 괴산군,5696,94.0,0.016502808988764,502,540,663,1705,0.6518226497932087,0.0,0.0,638,17073.0,73.0
충북 음성군,6662,59.0,0.0088561993395376,508,547,662,1717,0.5909773431162192,4.0,0.0,440,34666.0,73.0
충북 단양군,3288,74.0,0.0225060827250608,565,608,746,1919,0.7032321548911259,0.0,0.0,501,519.0,16.0
강원 춘천시,14340,51.0,0.0035564853556485,499,537,653,1689,0.6130316195826566,5.0,0.0,425,9662.0,24.0
강원 원주시,19586,67.0,0.0034208107832124,523,563,694,1780,0.6934171012772387,0.0,0.0,405,11623.0,84.0
강원 강릉시,14787,44.0,0.0029755866639615,528,568,698,1794,0.6341906972800576,1.0,1.0,525,30149.0,14.0
강원 동해시,3713,0.0,0.0,507,546,668,1721,0.4670091248197692,0.0,2.0,139,21.0,1.0
강원 태백시,1379,0.0,0.0,0,0,0,0,0.0097638745260255,0.0,0.0,97,,
강원 속초시,2441,0.0,0.0,507,546,666,1719,0.455617279960933,0.0,0.0,506,1364.0,6.0
강원 삼척시,7444,22.0,0.0029554003224073,507,546,668,1721,0.5342016478070757,1.0,0.0,530,1630.0,5.0
강원 홍천군,14183,102.0,0.0071917083832757,502,540,656,1698,0.676850217246805,6.0,0.0,933,11917.0,39.0
강원 횡성군,11670,101.0,0.0086546700942587,528,568,693,1789,0.6857356096550289,0.0,0.0,683,6230.0,52.0
강원 영월군,6915,66.0,0.0095444685466377,507,546,668,1721,0.6035983237573331,0.0,0.0,569,62.0,5.0
강원 평창군,8270,66.0,0.0079806529625151,507,546,668,1721,0.6063392426335045,7.0,0.0,859,1204.0,5.0
강원 정선군,4080,37.0,0.0090686274509803,507,546,668,1721,0.5525206084327399,0.0,0.0,469,0.0,0.0
강원 철원군,7533,22.0,0.0029204832072215,559,602,733,1894,0.5788476526999139,0.0,0.0,797,44735.0,18.0
강원 화천군,3663,22.0,0.006006006006006,500,538,657,1695,0.5125084964246873,0.0,0.0,659,26.0,4.0
강원 양구군,3964,26.0,0.0065590312815338,486,523,640,1649,0.5098238060468495,0.0,0.0,506,2851.0,13.0
강원 인제군,5754,36.0,0.0062565172054223,502,540,656,1698,0.5444120768542615,2.0,1.0,371,123.0,2.0
강원 고성군,4569,17.0,0.0037207266360253,508,547,666,1721,0.5098016506845024,2.0,0.0,443,12503.0,16.0
강원 양양군,5410,41.0,0.0075785582255083,507,546,666,1719,0.5583377146280436,0.0,0.0,197,3688.0,10.0
